#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
epo_doka;Doko Demo Doraemon Nihon Ryokou Game DX Taikan! Doko Dora Grand Prix! (Japan);mame;;2004;Epoch / SSD Company LTD;Handheld / Plug n' Play TV Game;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
dokodemo;Doko Demo Issho: Toro's Fishing (Ver.1.00, 2006/06/07);mame;;2006;Sony / Capcom;Medal Game / Action;1;0;only_buttons;preliminary;1;raster;;;???;3;;;;
bdoramon;Dokodemo Dorayaki Doraemon;mame;;1983;Bandai;Handheld / Electronic Game;1;0;joystick (8-way);good;1;svg;;;Non-arcade;1;;;;
dollyptn;Dolly Parton;mame;;1979;Bally;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;33;;;;
dolmen;Dolmen;mame;;1995;Afega;Puzzle / Toss;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
dolphin;Dolphin Blue;mame;;2003;Sammy;Platform / Shooter Scrolling;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;awbios;;2P sim;6;;;;
dolphntr;Dolphin Treasure (0200424V, NSW/ACT);mame;;1997;Aristocrat;Slot Machine / Video Slot;1;0;keypad,gambling;preliminary;1;raster;aristmk5;;1P;15;;;;
doltra6;Dolphin Treasure (10177911, ASP);mame;;2004;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
dolphinp;Dolphin's Pearl (set 1);mame;;2002?;Novotech;Slot Machine / Video Slot;1;0;;preliminary;1;raster;;;???;;;;;
dominob;Domino Block;mame;;1996;Wonwoo Systems;Ball & Paddle / Breakout;1;0;dial;good;1;raster;;;1P;2;;;;
domino2;Domino II (Bingo);mame;;19??;Seeben (Belgium);Electromechanical / Bingo;0;;;preliminary;0;;;;???;;;;;
domino;Domino Man (set 1);mame;;1982;Bally Midway;Maze / Blocks;2;0;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;1;;;;
dominos;Dominos;mame;;1977;Atari;Maze / Surround;2;0;joystick (4-way),joystick (4-way);good;1;raster;;;2P sim;;;;;
dommy;Dommy;mame;;1983;Technos Japan;Maze / Move and Sort;2;270;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;1;;;;
dombikec;Domyos Bike Concept (Domyos Interactive System);mame;;2008;Decathlon / SSD Company LTD;Game Console / Fitness Game;2;0;only_buttons,only_buttons;preliminary;1;raster;;;Non-arcade;16;;;;
domfitad;Domyos Fitness Adventure (Domyos Interactive System);mame;;2008;Decathlon / SSD Company LTD;Game Console / Fitness Game;2;0;only_buttons,only_buttons;preliminary;1;raster;;;Non-arcade;16;;;;
domfitch;Domyos Fitness Challenge (Domyos Interactive System);mame;;2008;Decathlon / SSD Company LTD;Game Console / Fitness Game;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
domdance;Domyos Fitness Dance (Domyos Interactive System);mame;;2007;Decathlon / SSD Company LTD;Game Console / Fitness Game;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
domfitex;Domyos Fitness Exercises (Domyos Interactive System);mame;;2008;Decathlon / SSD Company LTD;Game Console / Fitness Game;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
domstepc;Domyos Step Concept (Domyos Interactive System);mame;;2007;Decathlon / SSD Company LTD;Game Console / Fitness Game;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
ddenlovj;Don Den Lover Vol. 1 - Shiro Kuro Tsukeyo! (Japan);mame;;1995;Dynax;Tabletop / Othello - Reversi * Mature *;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
dondenmj;Don Den Mahjong (Japan);mame;;1986;Dyna Electronics;Tabletop / Mahjong * Mature *;2;0;mahjong,gambling,mahjong;good;1;raster;;;1P;26;;;;
dondokod;Don Doko Don (World, rev 1);mame;;1989;Taito Corporation Japan;Platform / Run Jump;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
